vertical,brand,category,size_signal,why_fit,contact_url,title_to_address,ticket_ils_yr,priority,verification_status,notes
LAW,Herzog Fox & Neeman,BigLaw hi-tech capital markets,500+ lawyers IL top 2,Strong ESG/community page next-gen Israel brand,herzoglaw.co.il/en/contact,Director of Marketing / Head of BD,25000-75000,B,form-only,Gil White MP gatekeeper route to CMO
LAW,Meitar,BigLaw M&A hi-tech,600+ lawyers IL largest,Long volunteering tradition youth/education angle,meitar.com/en,Director of Marketing & BD,30000-80000,A,form-only,Pit vs Herzog same-week
LAW,Goldfarb Gross Seligman,M&A hi-tech banking,~400 lawyers post-merger,Post-merger rebrand budget active,goldfarb.com/contact,Marketing Director,20000-60000,B,form-only,
LAW,S. Horowitz & Co,Litigation banking IP,~150 lawyers IL oldest,Traditional pro bono ethos fits individual story,s-horowitz.com,BD Manager,15000-40000,C,form-only,
LAW,Naschitz Brandes Amir,Commercial tort labor,312 lawyers,Sport-tort practice natural fit,nblaw.com,Marketing Manager,15000-40000,C,form-only,
LAW,Arnon Tadmor-Levy,M&A hi-tech post-merger,300+ lawyers,Post-merger brand reset differentiated sponsorships,arnontl.com,Director of Marketing,20000-50000,B,form-only,
LAW,Erdinast Ben Nathan Toledano,Litigation RE hi-tech,~200 lawyers UK/China desks,International desks align Pro Tour cities,ebnlaw.co.il,Marketing/BD,15000-40000,B,form-only,
LAW,Gornitzky & Co,M&A tax regulatory,Est 1938 ~200 lawyers,Heritage firm presidential legacy appeal,gornitzky.com,Communications Lead,15000-40000,C,form-only,
LAW,Pearl Cohen Zedek Latzer Baratz,IP hi-tech life sciences,Multi-office TLV/NY/London,London office = England leg activation,pearlcohen.com,BD/Marketing Director,20000-50000,B,form-only,Native fit Bridlington trip
LAW,Shibolet & Co,Hi-tech VC M&A,~180 lawyers,Hi-tech client base recruiter brand,shibolet.com,Marketing Director,15000-40000,C,form-only,
LAW,Lipa Meir,Commercial RE,~120 lawyers,Mid-tier easier check authorization,lipameir.co.il,Marketing Manager,10000-30000,C,form-only,
LAW,Gross Kleinhendler GKH,M&A hi-tech,~150 lawyers,Younger partnership social-first marketing,gkh-law.com,Head of Marketing,15000-40000,B,form-only,
LAW,Agmon Tulchinsky,Regulatory comms public affairs,~120 lawyers,Comms-heavy knows media value of athlete story,agmon-law.co.il,Communications/Marketing,15000-35000,B,form-only,
LAW,Doron Tikotzky Kantor Gutman,Tax RE litigation,~100 lawyers,Mid-tier family/personal sponsorships fit,dtkgg.com,Marketing,10000-25000,C,form-only,
LAW,Amit Pollak Matalon APM,Banking hi-tech M&A,~180 lawyers,Active social/CSR LinkedIn posting,apm.law,Marketing Director,15000-40000,B,form-only,
INSURANCE,Clal Insurance,Life health P&C,Top-5 IL,Already sponsors Paralympic Segel HaZahav PROVEN ATHLETE BUDGET,thevaluable500.com/companies/clal-insurance,CSR & Sponsorships Lead,40000-120000,A,verified-pattern,WARMEST PATH #1
INSURANCE,Menora Mivtachim,Pensions + Maccabi TA arena,Public ~20M arena naming,PROVEN SPORT-SPONSOR Maccabi TA arena namesake,menoramivt.co.il,Sponsorship Manager,50000-150000,A,verified-pattern,WARMEST PATH #2
INSURANCE,Migdal,Life + long-term savings #1 IL,Public TASE largest IL life,Pension/longevity = career-investing in 17yo,my.migdal.co.il/en,Head of Marketing/Brand,50000-150000,A,form-only,Pit vs Phoenix same-week
INSURANCE,Phoenix,Multi-line $200B AUM,Public top-3 IL,Stated CSR culture/education/health = youth dev,fnx.co.il,VP Marketing / Brand Director,50000-150000,A,form-only,Pit vs Migdal same-week
INSURANCE,Harel,Largest IL insurance group,Public #1 P&C,Health + youth fitness native cross-sell,harel-group.co.il,Marketing/Brand Director,40000-120000,B,form-only,
INSURANCE,Ayalon Insurance,Top-6 IL multi-line,Founded 1976 growth-mode,Looking for differentiation vs majors,ayalon-ins.co.il,Marketing Director,20000-60000,B,form-only,
INSURANCE,IDI Direct (Bituach Yashir),Direct DTC,Most-valuable IL insurer mkt cap,DTC heavy ad spend hero-story TV fit,9000.co.il,CMO / Brand,30000-100000,A,form-only,Strong DTC budget
INSURANCE,AIG Israel,P&C travel accident,IL arm of global,Travel insurance Pro Tour native angle,aig.co.il,Marketing Manager IL,20000-60000,B,form-only,
INSURANCE,Shomera,P&C Menora subsidiary,Menora-owned 2007,Stated sport/community involvement,linkedin.com/company/shomeraa,Marketing,10000-30000,C,pattern,
INSURANCE,PassportCard / DavidShield,Travel health insurance,Private IL HQ,NATIVE FIT travel insurance for traveling athlete,passportcard.com,CMO / Partnerships,20000-60000,A,form-only,WARMEST PATH #4
HITECH,eToro,Public NASDAQ IL HQ,Premier League shirt sponsor history,PROVEN SPONSOR Premier League precedent,etoro.com,Global Sponsorship Mgr,50000-150000,A,verified-pattern,WARMEST PATH #3
HITECH,Payoneer,Public NASDAQ IL-founded,Global payments,Athlete getting paid abroad = literal use case,payoneer.com,CMO / Brand Lead,40000-120000,B,form-only,
